PeriodNum,PeriodName,RecFlag
-2,－隔日－,2
-1,－无－,2
0,强开时段,2
1,全天营业,1
2,车辆运营,1
3,营业分组1时段3,2
4,营业分组1时段4,2
5,营业分组1时段5,2
6,营业分组1时段6,2
7,营业分组1时段7,2
8,营业分组1时段8,2
9,早餐,1
10,中餐,1
11,晚餐,1
12,营业分组2时段4,2
13,营业分组2时段5,2
14,营业分组2时段6,2
15,营业分组2时段7,2
16,营业分组2时段8,2
17,营业分组3时段1,2
18,营业分组3时段2,2
19,营业分组3时段3,2
20,营业分组3时段4,2
21,营业分组3时段5,2
22,营业分组3时段6,2
23,营业分组3时段7,2
24,营业分组3时段8,2
25,营业分组4时段1,2
26,营业分组4时段2,2
27,营业分组4时段3,2
28,营业分组4时段4,2
29,营业分组4时段5,2
30,营业分组4时段6,2
31,营业分组4时段7,2
32,营业分组4时段8,2
33,营业分组5时段1,2
34,营业分组5时段2,2
35,营业分组5时段3,2
36,营业分组5时段4,2
37,营业分组5时段5,2
38,营业分组5时段6,2
39,营业分组5时段7,2
40,营业分组5时段8,2
41,营业分组6时段1,2
42,营业分组6时段2,2
43,营业分组6时段3,2
44,营业分组6时段4,2
45,营业分组6时段5,2
46,营业分组6时段6,2
47,营业分组6时段7,2
48,营业分组6时段8,2
49,营业分组7时段1,2
50,营业分组7时段2,2
51,营业分组7时段3,2
52,营业分组7时段4,2
53,营业分组7时段5,2
54,营业分组7时段6,2
55,营业分组7时段7,2
56,营业分组7时段8,2
57,营业分组8时段1,2
58,营业分组8时段2,2
59,营业分组8时段3,2
60,营业分组8时段4,2
61,营业分组8时段5,2
62,营业分组8时段6,2
63,营业分组8时段7,2
64,营业分组8时段8,2
65,营业分组9时段1,2
66,营业分组9时段2,2
67,营业分组9时段3,2
68,营业分组9时段4,2
69,营业分组9时段5,2
70,营业分组9时段6,2
71,营业分组9时段7,2
72,营业分组9时段8,2
73,营业分组10时段1,2
74,营业分组10时段2,2
75,营业分组10时段3,2
76,营业分组10时段4,2
77,营业分组10时段5,2
78,营业分组10时段6,2
79,营业分组10时段7,2
80,营业分组10时段8,2
81,营业分组11时段1,2
82,营业分组11时段2,2
83,营业分组11时段3,2
84,营业分组11时段4,2
85,营业分组11时段5,2
86,营业分组11时段6,2
87,营业分组11时段7,2
88,营业分组11时段8,2
89,营业分组12时段1,2
90,营业分组12时段2,2
91,营业分组12时段3,2
92,营业分组12时段4,2
93,营业分组12时段5,2
94,营业分组12时段6,2
95,营业分组12时段7,2
96,营业分组12时段8,2
97,营业分组13时段1,2
98,营业分组13时段2,2
99,营业分组13时段3,2
100,营业分组13时段4,2
101,营业分组13时段5,2
102,营业分组13时段6,2
103,营业分组13时段7,2
104,营业分组13时段8,2
105,营业分组14时段1,2
106,营业分组14时段2,2
107,营业分组14时段3,2
108,营业分组14时段4,2
109,营业分组14时段5,2
110,营业分组14时段6,2
111,营业分组14时段7,2
112,营业分组14时段8,2
113,营业分组15时段1,2
114,营业分组15时段2,2
115,营业分组15时段3,2
116,营业分组15时段4,2
117,营业分组15时段5,2
118,营业分组15时段6,2
119,营业分组15时段7,2
120,营业分组15时段8,2
121,营业分组16时段1,2
122,营业分组16时段2,2
123,营业分组16时段3,2
124,营业分组16时段4,2
125,营业分组16时段5,2
126,营业分组16时段6,2
127,营业分组16时段7,2
128,营业分组16时段8,2
