CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
1,1,1,0,0,2018-09-27 11:17:56.097,1,1001,1,-1
1,1,35,0,0,2018-09-27 11:18:21.680,1,1001,1,-1
3,2,1,0,0,2018-09-27 11:18:48.430,1,1001,1,-1
3,2,35,0,0,2018-09-27 11:19:07.063,1,1001,1,-1
4,2,35,0,0,2018-09-27 11:19:17.820,1,1001,1,-1
6,3,1,0,0,2018-09-27 11:20:10.330,1,1001,1,-1
5,2,21,1000,0,2018-09-27 11:20:44.697,1,1001,1,-1
5,2,28,-1000,0,2018-09-27 11:20:59.867,1,1001,1,-1
2,1,21,9999,0,2018-09-27 11:21:12.237,1,1001,1,-1
2,1,28,-9999,0,2018-09-27 11:21:34.223,1,1001,1,-1
7,10053,1,0,0,2018-09-27 16:27:10.020,1,1001,1,-1
7,10053,35,0,0,2018-09-27 16:28:29.857,1,1001,1,-1
9,10265,1,0,0,2018-09-28 09:04:18.837,1,1001,1,-1
10,10255,1,0,0,2018-09-28 09:09:17.500,1,1001,1,-1
11,10547,1,0,0,2018-09-28 09:21:07.700,1,1001,1,-1
12,10222,1,0,0,2018-09-28 09:42:36.043,1,1001,1,-1
13,10253,1,0,0,2018-09-28 09:43:21.773,1,1001,1,-1
14,10216,1,0,0,2018-09-28 09:43:49.933,1,1001,1,-1
15,10226,1,0,0,2018-09-28 09:44:19.087,1,1001,1,-1
16,10229,1,0,0,2018-09-28 09:48:07.347,1,1001,1,-1
17,10225,1,0,0,2018-09-28 09:48:49.610,1,1001,1,-1
18,10221,1,0,0,2018-09-28 09:50:30.420,1,1001,1,-1
19,10218,1,0,0,2018-09-28 09:52:21.660,1,1001,1,-1
20,10269,1,0,0,2018-09-28 09:52:42.670,1,1001,1,-1
21,10548,1,0,0,2018-09-28 09:55:04.847,1,1001,1,-1
22,10217,1,0,0,2018-09-28 09:57:30.643,1,1001,1,-1
22,10217,35,0,0,2018-09-28 09:58:20.617,1,1001,1,-1
23,10217,35,0,0,2018-09-28 09:59:55.347,1,1001,1,-1
25,10223,1,0,0,2018-09-28 10:01:10.390,1,1001,1,-1
25,10223,35,0,0,2018-09-28 10:01:38.007,1,1001,1,-1
27,10214,1,0,0,2018-09-28 10:08:51.433,1,1001,1,-1
27,10214,35,0,0,2018-09-28 10:09:18.650,1,1001,1,-1
29,10033,1,0,0,2018-09-28 10:14:07.997,1,1001,1,-1
30,10037,1,0,0,2018-09-28 10:17:56.253,1,1001,1,-1
30,10037,35,0,0,2018-09-28 10:18:24.730,1,1001,1,-1
32,10026,1,0,0,2018-09-28 10:18:59.367,1,1001,1,-1
32,10026,35,0,0,2018-09-28 10:19:34.470,1,1001,1,-1
33,10026,35,0,0,2018-09-28 10:23:22.173,1,1001,1,-1
35,10195,1,0,0,2018-09-28 10:30:39.087,1,1001,1,-1
36,10194,1,0,0,2018-09-28 10:33:06.457,1,1001,1,-1
37,10197,1,0,0,2018-09-28 10:36:32.133,1,1001,1,-1
37,10197,35,0,0,2018-09-28 10:36:56.480,1,1001,1,-1
39,10058,1,0,0,2018-09-28 10:41:27.780,1,1001,1,-1
40,10526,1,0,0,2018-09-28 10:45:31.047,1,1001,1,-1
41,10515,1,0,0,2018-09-28 10:46:17.053,1,1001,1,-1
41,10515,35,0,0,2018-09-28 10:46:38.027,1,1001,1,-1
43,10517,1,0,0,2018-09-28 10:47:21.427,1,1001,1,-1
44,10514,1,0,0,2018-09-28 10:49:53.510,1,1001,1,-1
44,10514,35,0,0,2018-09-28 10:50:15.483,1,1001,1,-1
45,10514,35,0,0,2018-09-28 10:50:27.550,1,1001,1,-1
47,10513,1,0,0,2018-09-28 10:51:09.813,1,1001,1,-1
47,10513,35,0,0,2018-09-28 10:51:33.437,1,1001,1,-1
48,10513,35,0,0,2018-09-28 10:51:42.247,1,1001,1,-1
50,10529,1,0,0,2018-09-28 10:52:18.250,1,1001,1,-1
51,10521,1,0,0,2018-09-28 10:53:04.487,1,1001,1,-1
52,10522,1,0,0,2018-09-28 10:53:26.920,1,1001,1,-1
52,10522,35,0,0,2018-09-28 10:53:47.303,1,1001,1,-1
54,10518,1,0,0,2018-09-28 10:54:35.167,1,1001,1,-1
55,10527,1,0,0,2018-09-28 10:55:50.790,1,1001,1,-1
55,10527,35,0,0,2018-09-28 10:56:11.477,1,1001,1,-1
57,10531,1,0,0,2018-09-28 10:56:29.967,1,1001,1,-1
57,10531,35,0,0,2018-09-28 10:56:50.140,1,1001,1,-1
59,10519,1,0,0,2018-09-28 10:57:32.023,1,1001,1,-1
59,10519,35,0,0,2018-09-28 10:57:55.647,1,1001,1,-1
61,10176,1,0,0,2018-09-28 11:00:37.983,1,1001,1,-1
61,10176,35,0,0,2018-09-28 11:00:57.787,1,1001,1,-1
63,10177,1,0,0,2018-09-28 11:01:32.790,1,1001,1,-1
64,10534,1,0,0,2018-09-28 11:04:34.557,1,1001,1,-1
64,10534,35,0,0,2018-09-28 11:04:57.917,1,1001,1,-1
65,10534,35,0,0,2018-09-28 11:05:09.903,1,1001,1,-1
67,10075,1,0,0,2018-09-28 11:13:34.103,1,1001,1,-1
68,10074,1,0,0,2018-09-28 11:14:59.303,1,1001,1,-1
69,10073,1,0,0,2018-09-28 11:15:20.833,1,1001,1,-1
70,10076,1,0,0,2018-09-28 11:15:41.297,1,1001,1,-1
71,10070,1,0,0,2018-09-28 11:16:30.037,1,1001,1,-1
72,10072,1,0,0,2018-09-28 11:16:50.163,1,1001,1,-1
72,10072,35,0,0,2018-09-28 11:17:12.880,1,1001,1,-1
74,10077,1,0,0,2018-09-28 11:17:33.587,1,1001,1,-1
75,10078,1,0,0,2018-09-28 11:18:00.460,1,1001,1,-1
75,10078,35,0,0,2018-09-28 11:18:22.477,1,1001,1,-1
77,10549,1,0,0,2018-09-28 11:20:19.477,1,1001,1,-1
78,10050,1,0,0,2018-09-28 11:22:49.987,1,1001,1,-1
79,10047,1,0,0,2018-09-28 11:24:27.073,1,1001,1,-1
80,10048,1,0,0,2018-09-28 11:25:12.613,1,1001,1,-1
80,10048,35,0,0,2018-09-28 11:25:35.293,1,1001,1,-1
82,10045,1,0,0,2018-09-28 11:27:02.577,1,1001,1,-1
82,10045,35,0,0,2018-09-28 11:27:25.693,1,1001,1,-1
84,10044,1,0,0,2018-09-28 11:28:21.537,1,1001,1,-1
84,10044,35,0,0,2018-09-28 11:28:40.803,1,1001,1,-1
85,10044,35,0,0,2018-09-28 11:28:51.263,1,1001,1,-1
86,10044,35,0,0,2018-09-28 11:29:00.783,1,1001,1,-1
